start_time,activity,end_time,time_span,sequence_in_a_day,label
2009/2/2 7:15,R1_Bed_to_Toilet,2009/2/2 7:21,347,1,1
2009/2/2 7:21,R1_Personal_Hygiene,2009/2/2 7:38,1050,1,1
2009/2/2 7:47,Meal_Preparation,2009/2/2 7:55,485,1,1
2009/2/2 10:19,Meal_Preparation,2009/2/2 10:41,1322,2,1
2009/2/2 11:41,Watch_TV,2009/2/2 12:31,2968,1,1
2009/2/2 14:29,R1_Work,2009/2/2 17:37,11299,1,1
2009/2/2 17:47,Meal_Preparation,2009/2/2 18:56,4177,3,1
2009/2/2 19:00,R1_Work,2009/2/2 19:30,1789,2,1
2009/2/2 22:10,R1_Sleep,2009/2/3 5:57,27987,1,1
2009/2/3 7:29,R1_Bed_to_Toilet,2009/2/3 7:35,374,1,1
2009/2/3 8:06,Meal_Preparation,2009/2/3 17:57,35486,1,0
2009/2/3 17:57,R1_Work,2009/2/3 19:10,4346,1,1
2009/2/3 18:01,Watch_TV,2009/2/3 19:10,4140,1,1
2009/2/3 22:25,R1_Sleep,2009/2/4 5:56,27048,1,1
2009/2/4 7:01,Meal_Preparation,2009/2/4 7:40,2319,1,1
2009/2/4 7:26,R1_Bed_to_Toilet,2009/2/4 7:40,843,1,1
2009/2/4 7:40,R1_Personal_Hygiene,2009/2/4 7:46,390,1,1
2009/2/4 7:53,Meal_Preparation,2009/2/4 8:14,1238,2,1
2009/2/4 10:31,Meal_Preparation,2009/2/4 10:45,799,3,1
2009/2/4 10:52,Meal_Preparation,2009/2/4 11:58,3985,4,1
2009/2/4 17:15,Watch_TV,2009/2/4 19:34,8333,1,1
2009/2/4 21:05,R1_Work,2009/2/4 22:48,6161,1,1
2009/2/4 22:55,R1_Sleep,2009/2/5 6:51,28562,1,1
2009/2/5 6:51,R1_Bed_to_Toilet,2009/2/5 7:12,1262,1,1
2009/2/5 7:23,Meal_Preparation,2009/2/5 7:24,52,1,1
2009/2/5 8:05,Meal_Preparation,2009/2/5 8:12,458,2,1
2009/2/5 8:26,Watch_TV,2009/2/5 9:46,4834,1,1
2009/2/5 12:13,Meal_Preparation,2009/2/5 12:41,1672,3,1
2009/2/5 18:38,R1_Work,2009/2/5 21:50,11567,1,1
2009/2/5 18:42,Meal_Preparation,2009/2/5 18:46,232,4,1
2009/2/5 23:06,R1_Personal_Hygiene,2009/2/5 23:10,236,1,1
2009/2/5 23:11,R1_Sleep,2009/2/6 7:33,30119,1,1
2009/2/6 7:33,R1_Bed_to_Toilet,2009/2/6 7:53,1196,1,1
2009/2/6 7:34,R1_Personal_Hygiene,2009/2/6 7:54,1177,1,1
2009/2/6 8:04,Meal_Preparation,2009/2/6 8:25,1268,1,1
2009/2/6 9:30,Meal_Preparation,2009/2/6 9:59,1750,2,1
2009/2/6 11:09,Meal_Preparation,2009/2/6 11:28,1151,3,1
2009/2/6 14:28,R1_Work,2009/2/6 14:56,1659,1,1
2009/2/6 15:09,Meal_Preparation,2009/2/6 15:28,1161,4,1
2009/2/6 17:15,R1_Work,2009/2/6 17:47,1914,2,1
2009/2/6 20:01,R1_Work,2009/2/6 22:12,7854,3,0
2009/2/6 23:52,R1_Sleep,2009/2/7 8:23,30623,1,1
2009/2/9 7:49,R1_Bed_to_Toilet,2009/2/9 7:52,182,1,1
2009/2/9 7:49,R1_Personal_Hygiene,2009/2/9 8:09,1180,1,1
2009/2/9 8:23,Meal_Preparation,2009/2/9 8:30,438,1,1
2009/2/9 9:37,Meal_Preparation,2009/2/9 10:02,1447,2,1
2009/2/9 15:40,R1_Work,2009/2/9 18:32,10309,1,1
2009/2/9 18:33,Meal_Preparation,2009/2/9 18:45,721,3,1
2009/2/9 18:46,R1_Work,2009/2/9 19:31,2695,2,1
2009/2/9 20:07,Watch_TV,2009/2/9 23:55,13699,1,1
2009/2/9 20:40,R1_Personal_Hygiene,2009/2/9 20:45,301,2,1
2009/2/9 20:45,R1_Sleep,2009/2/10 9:21,45361,1,0
2009/2/10 10:13,Meal_Preparation,2009/2/10 10:32,1159,1,1
2009/2/10 10:28,R1_Bed_to_Toilet,2009/2/10 10:41,808,1,1
2009/2/10 11:00,R1_Work,2009/2/10 11:09,539,1,1
2009/2/10 11:11,Meal_Preparation,2009/2/10 11:19,507,2,1
2009/2/10 11:51,R1_Personal_Hygiene,2009/2/10 11:56,261,1,1
2009/2/10 13:05,Meal_Preparation,2009/2/10 17:42,16619,3,0
2009/2/10 17:03,Watch_TV,2009/2/10 19:00,6992,1,1
2009/2/10 18:09,Meal_Preparation,2009/2/10 18:45,2199,4,1
2009/2/10 19:15,R1_Work,2009/2/10 19:49,2071,2,1
2009/2/10 19:55,Meal_Preparation,2009/2/10 20:08,781,5,0
2009/2/11 7:31,Meal_Preparation,2009/2/11 16:12,31237,1,0
2009/2/11 15:41,Watch_TV,2009/2/11 16:14,1963,1,1
2009/2/12 7:14,Meal_Preparation,2009/2/12 7:27,813,1,1
2009/2/12 8:27,Meal_Preparation,2009/2/12 20:28,43296,2,0
2009/2/12 20:28,Watch_TV,2009/2/12 21:12,2598,1,1
2009/2/13 8:46,Meal_Preparation,2009/2/13 11:31,9949,1,1
2009/2/13 17:08,Meal_Preparation,2009/2/13 21:49,16819,2,0
2009/2/13 17:25,Watch_TV,2009/2/13 19:18,6815,1,1
2009/2/16 8:11,Meal_Preparation,2009/2/16 8:48,2190,1,1
2009/2/16 19:13,R1_Personal_Hygiene,2009/2/16 19:15,69,1,1
2009/2/16 20:42,R1_Work,2009/2/16 22:40,7089,1,1
2009/2/16 22:41,R1_Sleep,2009/2/17 8:34,35628,1,1
2009/2/16 22:58,R1_Bed_to_Toilet,2009/2/16 23:00,170,1,1
2009/2/16 23:19,R1_Bed_to_Toilet,2009/2/16 23:23,228,2,1
2009/2/17 0:28,R1_Bed_to_Toilet,2009/2/17 0:32,228,1,1
2009/2/17 1:17,R1_Bed_to_Toilet,2009/2/17 1:21,228,2,0
2009/2/17 3:00,R1_Bed_to_Toilet,2009/2/17 3:04,228,3,0
2009/2/17 5:35,R1_Bed_to_Toilet,2009/2/17 5:39,228,4,0
2009/2/17 7:05,Meal_Preparation,2009/2/17 7:11,389,1,1
2009/2/17 8:35,R1_Bed_to_Toilet,2009/2/17 8:37,94,5,1
2009/2/17 8:37,R1_Personal_Hygiene,2009/2/17 8:55,1063,1,1
2009/2/17 17:18,Meal_Preparation,2009/2/17 18:38,4817,2,1
2009/2/17 17:18,Watch_TV,2009/2/17 19:11,6825,1,1
2009/2/17 19:13,R1_Personal_Hygiene,2009/2/17 19:18,308,2,1
2009/2/17 19:21,R1_Work,2009/2/17 22:37,11807,1,1
2009/2/17 22:38,R1_Bed_to_Toilet,2009/2/17 22:40,123,6,1
2009/2/17 22:41,R1_Sleep,2009/2/18 7:44,32570,1,1
2009/2/17 23:49,R1_Bed_to_Toilet,2009/2/17 23:53,228,7,1
2009/2/18 1:47,R1_Bed_to_Toilet,2009/2/18 1:51,228,1,1
2009/2/18 3:48,R1_Bed_to_Toilet,2009/2/18 3:52,228,2,0
2009/2/18 6:14,R1_Bed_to_Toilet,2009/2/18 6:18,228,3,0
2009/2/18 7:45,R1_Bed_to_Toilet,2009/2/18 8:00,925,4,0
2009/2/18 8:01,R1_Personal_Hygiene,2009/2/18 8:07,384,1,1
2009/2/18 8:21,Meal_Preparation,2009/2/18 8:31,630,1,1
2009/2/18 17:16,Watch_TV,2009/2/18 22:45,19742,1,0
2009/2/18 17:23,Meal_Preparation,2009/2/18 20:29,11142,2,1
2009/2/18 20:43,R1_Work,2009/2/18 22:43,7197,1,1
2009/2/18 22:46,R1_Sleep,2009/2/19 6:46,28834,1,1
2009/2/18 23:23,R1_Bed_to_Toilet,2009/2/18 23:27,228,5,1
2009/2/19 1:40,R1_Bed_to_Toilet,2009/2/19 1:44,228,1,1
2009/2/19 3:05,R1_Bed_to_Toilet,2009/2/19 3:09,228,2,1
2009/2/19 5:39,R1_Bed_to_Toilet,2009/2/19 5:43,228,3,0
2009/2/19 6:47,R1_Bed_to_Toilet,2009/2/19 7:02,922,4,0
2009/2/19 7:08,R1_Personal_Hygiene,2009/2/19 7:12,235,1,1
2009/2/19 7:13,Meal_Preparation,2009/2/19 7:31,1077,1,1
2009/2/19 8:14,Meal_Preparation,2009/2/19 8:51,2221,2,1
2009/2/19 11:36,Meal_Preparation,2009/2/19 12:59,4967,3,1
2009/2/19 17:00,R1_Work,2009/2/19 17:22,1356,1,1
2009/2/19 18:21,Meal_Preparation,2009/2/19 18:38,991,4,1
2009/2/19 18:36,R1_Work,2009/2/19 20:00,5066,2,1
2009/2/19 20:01,R1_Sleep,2009/2/20 4:26,30340,1,1
2009/2/20 4:27,R1_Work,2009/2/20 6:23,6933,1,1
2009/2/20 5:28,R1_Bed_to_Toilet,2009/2/20 5:43,924,1,1
2009/2/20 5:44,R1_Personal_Hygiene,2009/2/20 6:02,1045,1,1
2009/2/20 8:10,Meal_Preparation,2009/2/20 8:49,2368,1,1
2009/2/20 14:04,R1_Work,2009/2/20 15:22,4719,2,1
2009/2/20 17:50,Meal_Preparation,2009/2/20 18:25,2154,2,1
2009/2/21 0:38,R1_Sleep,2009/2/21 7:43,25490,1,1
2009/2/23 7:45,R1_Bed_to_Toilet,2009/2/23 7:47,88,1,1
2009/2/23 7:54,R1_Personal_Hygiene,2009/2/23 8:01,424,1,1
2009/2/23 8:09,Meal_Preparation,2009/2/23 8:18,488,1,1
2009/2/23 8:31,R1_Personal_Hygiene,2009/2/23 8:35,233,2,1
2009/2/23 10:53,Meal_Preparation,2009/2/23 11:06,818,2,1
2009/2/23 14:29,Watch_TV,2009/2/23 14:53,1392,1,1
2009/2/23 15:07,Watch_TV,2009/2/23 16:34,5276,2,0
2009/2/23 16:35,Meal_Preparation,2009/2/23 17:51,4593,3,1
2009/2/23 17:53,R1_Work,2009/2/23 18:52,3546,1,1
2009/2/23 23:14,R1_Sleep,2009/2/24 7:01,28050,1,1
2009/2/24 7:32,R1_Work,2009/2/24 7:57,1499,1,1
2009/2/24 7:58,R1_Bed_to_Toilet,2009/2/24 8:01,201,1,1
2009/2/24 8:01,Meal_Preparation,2009/2/24 8:02,83,1,1
2009/2/24 8:03,R1_Work,2009/2/24 8:47,2664,2,1
2009/2/24 8:04,Meal_Preparation,2009/2/24 8:41,2240,2,1
2009/2/24 8:47,R1_Personal_Hygiene,2009/2/24 9:15,1652,1,1
2009/2/24 16:34,Meal_Preparation,2009/2/24 16:49,853,3,1
2009/2/24 16:35,Watch_TV,2009/2/24 20:38,14576,1,1
2009/2/24 21:08,R1_Work,2009/2/24 21:37,1778,3,0
2009/2/24 21:37,R1_Sleep,2009/2/25 7:33,35728,1,1
2009/2/25 7:34,R1_Personal_Hygiene,2009/2/25 8:02,1698,1,1
2009/2/25 8:10,Meal_Preparation,2009/2/25 8:27,1044,1,1
2009/2/25 8:28,Meal_Preparation,2009/2/25 8:48,1235,2,1
2009/2/25 18:02,Meal_Preparation,2009/2/25 19:45,6153,3,1
2009/2/25 18:17,Watch_TV,2009/2/25 19:44,5218,1,1
2009/2/25 20:34,R1_Work,2009/2/25 21:31,3452,1,1
2009/2/25 21:41,R1_Sleep,2009/2/26 6:51,33015,1,1
2009/2/26 8:02,Meal_Preparation,2009/2/26 8:28,1569,1,1
2009/2/26 8:47,R1_Personal_Hygiene,2009/2/26 9:11,1406,1,1
2009/2/26 9:31,Meal_Preparation,2009/2/26 9:58,1609,2,1
2009/2/26 12:02,Watch_TV,2009/2/26 13:02,3586,1,1
2009/2/26 12:14,Meal_Preparation,2009/2/26 12:52,2314,3,1
2009/2/26 17:00,R1_Work,2009/2/26 17:51,3102,1,1
2009/2/26 19:04,Meal_Preparation,2009/2/26 19:11,446,4,1
2009/2/26 19:12,R1_Work,2009/2/26 22:05,10421,2,1
2009/2/26 22:10,R1_Work,2009/2/26 23:35,5069,3,0
2009/2/26 23:35,R1_Sleep,2009/2/27 7:49,29638,1,1
2009/2/27 7:49,R1_Personal_Hygiene,2009/2/27 8:07,1084,1,1
2009/2/27 8:15,Meal_Preparation,2009/2/27 8:32,1003,1,1
2009/2/27 8:55,Meal_Preparation,2009/2/27 8:55,42,2,1
2009/2/27 15:23,R1_Work,2009/2/27 16:07,2601,1,1
2009/2/27 18:07,Meal_Preparation,2009/2/27 19:13,3916,3,1
2009/2/27 18:55,R1_Work,2009/2/28 0:47,21132,2,0
2009/2/27 19:13,Watch_TV,2009/2/27 23:09,14203,1,1
2009/2/28 0:48,R1_Sleep,2009/2/28 8:23,27333,1,1
2009/3/2 17:05,Meal_Preparation,2009/3/2 17:46,2460,1,1
2009/3/2 17:41,R1_Personal_Hygiene,2009/3/2 17:46,302,1,1
2009/3/2 17:46,R1_Work,2009/3/2 20:13,8814,1,1
2009/3/2 20:15,R1_Personal_Hygiene,2009/3/2 20:37,1344,2,1
2009/3/2 20:37,R1_Sleep,2009/3/3 7:08,37848,1,1
2009/3/2 22:18,R1_Bed_to_Toilet,2009/3/2 22:20,137,1,1
2009/3/3 7:08,R1_Bed_to_Toilet,2009/3/3 7:10,123,1,1
2009/3/3 7:10,R1_Work,2009/3/3 8:40,5361,1,1
2009/3/3 8:24,Meal_Preparation,2009/3/3 8:48,1426,1,1
2009/3/3 8:56,Meal_Preparation,2009/3/3 9:29,1999,2,1
2009/3/3 9:30,R1_Personal_Hygiene,2009/3/3 9:56,1527,1,1
2009/3/3 12:09,Meal_Preparation,2009/3/3 12:38,1766,3,1
2009/3/3 17:00,R1_Work,2009/3/3 22:02,18140,2,0
2009/3/3 22:02,R1_Sleep,2009/3/4 7:00,32251,1,1
2009/3/4 7:00,R1_Personal_Hygiene,2009/3/4 7:25,1492,1,1
2009/3/4 7:26,R1_Work,2009/3/4 7:57,1886,1,1
2009/3/4 8:08,R1_Bed_to_Toilet,2009/3/4 8:12,236,1,1
2009/3/4 8:24,R1_Bed_to_Toilet,2009/3/4 8:28,228,2,1
2009/3/4 9:08,R1_Bed_to_Toilet,2009/3/4 9:12,228,3,1
2009/3/4 10:18,R1_Bed_to_Toilet,2009/3/4 10:22,228,4,0
2009/3/4 10:37,Watch_TV,2009/3/4 11:39,3750,1,1
2009/3/4 10:37,Meal_Preparation,2009/3/4 11:45,4047,1,1
2009/3/4 13:08,R1_Bed_to_Toilet,2009/3/4 13:12,228,5,1
2009/3/4 17:00,R1_Work,2009/3/4 19:34,9263,2,1
2009/3/4 19:09,R1_Bed_to_Toilet,2009/3/4 19:13,228,6,1
2009/3/4 19:13,Meal_Preparation,2009/3/4 20:13,3579,2,1
2009/3/4 20:18,R1_Bed_to_Toilet,2009/3/4 20:22,228,7,0
2009/3/4 20:23,R1_Work,2009/3/4 22:58,9329,3,0
2009/3/4 21:04,Watch_TV,2009/3/4 23:19,8102,2,0
2009/3/4 22:22,R1_Bed_to_Toilet,2009/3/4 22:26,228,8,0
2009/3/5 0:11,R1_Sleep,2009/3/5 6:42,23435,1,1
2009/3/5 6:43,R1_Bed_to_Toilet,2009/3/5 7:00,1024,1,1
2009/3/5 7:01,R1_Personal_Hygiene,2009/3/5 7:22,1286,1,1
2009/3/5 7:34,Meal_Preparation,2009/3/5 7:59,1512,1,1
2009/3/5 8:39,R1_Bed_to_Toilet,2009/3/5 8:43,228,2,1
2009/3/5 8:46,Meal_Preparation,2009/3/5 8:52,316,2,1
2009/3/5 9:08,R1_Bed_to_Toilet,2009/3/5 9:12,228,3,1
2009/3/5 12:20,Meal_Preparation,2009/3/5 12:52,1935,3,1
2009/3/5 13:18,R1_Bed_to_Toilet,2009/3/5 13:22,228,4,1
2009/3/5 17:00,R1_Work,2009/3/5 17:34,2063,1,1
2009/3/5 17:00,Meal_Preparation,2009/3/5 17:33,1939,4,1
2009/3/5 17:35,Meal_Preparation,2009/3/5 18:19,2606,5,0
2009/3/5 18:39,R1_Bed_to_Toilet,2009/3/5 18:43,228,5,1
2009/3/5 18:43,R1_Work,2009/3/5 21:07,8634,2,1
2009/3/5 21:09,R1_Bed_to_Toilet,2009/3/5 21:13,228,6,1
2009/3/5 21:14,R1_Sleep,2009/3/6 7:35,37281,2,0
2009/3/5 22:34,R1_Bed_to_Toilet,2009/3/5 22:38,219,7,0
2009/3/6 7:38,R1_Bed_to_Toilet,2009/3/6 8:03,1457,1,0
2009/3/6 8:03,R1_Personal_Hygiene,2009/3/6 8:14,716,1,1
2009/3/6 8:21,Meal_Preparation,2009/3/6 8:25,262,1,1
2009/3/6 8:26,Meal_Preparation,2009/3/6 8:46,1234,2,1
2009/3/6 14:25,R1_Work,2009/3/6 17:06,9627,1,1
2009/3/6 19:14,Meal_Preparation,2009/3/6 20:17,3794,3,1
2009/3/6 22:56,R1_Sleep,2009/3/7 8:11,33330,1,1
2009/3/9 7:44,R1_Bed_to_Toilet,2009/3/9 8:07,1343,1,0
2009/3/9 8:07,R1_Personal_Hygiene,2009/3/9 8:14,373,1,1
2009/3/9 8:21,Meal_Preparation,2009/3/9 8:23,166,1,1
2009/3/9 8:23,R1_Work,2009/3/9 8:41,1069,1,1
2009/3/9 18:00,Meal_Preparation,2009/3/9 21:28,12501,2,1
2009/3/9 21:37,Watch_TV,2009/3/9 22:22,2700,1,1
2009/3/9 22:26,R1_Work,2009/3/9 23:15,2917,2,1
2009/3/9 23:15,R1_Sleep,2009/3/10 7:52,31032,1,1
2009/3/10 8:08,Meal_Preparation,2009/3/10 8:48,2359,1,1
2009/3/10 8:48,R1_Personal_Hygiene,2009/3/10 9:29,2488,1,0
2009/3/10 9:37,Meal_Preparation,2009/3/10 9:57,1212,2,1
2009/3/10 12:17,Meal_Preparation,2009/3/10 13:00,2572,3,1
2009/3/10 12:30,Watch_TV,2009/3/10 13:00,1800,1,1
2009/3/10 18:02,Meal_Preparation,2009/3/10 19:40,5892,4,1
2009/3/10 19:41,R1_Work,2009/3/10 22:17,9355,1,1
2009/3/10 22:21,R1_Sleep,2009/3/11 7:46,33895,1,1
2009/3/11 7:47,R1_Personal_Hygiene,2009/3/11 8:10,1380,1,1
2009/3/11 8:10,R1_Personal_Hygiene,2009/3/11 8:14,222,2,1
2009/3/11 8:18,R1_Bed_to_Toilet,2009/3/11 8:19,68,1,1
2009/3/11 8:20,Meal_Preparation,2009/3/11 8:32,713,1,1
2009/3/11 9:54,Meal_Preparation,2009/3/11 10:45,3048,2,1
2009/3/11 11:06,Meal_Preparation,2009/3/11 11:40,1991,3,1
2009/3/11 18:21,R1_Work,2009/3/11 22:07,13608,1,1
2009/3/11 18:37,Watch_TV,2009/3/11 19:11,2019,1,1
2009/3/11 22:11,R1_Sleep,2009/3/12 6:50,31096,1,1
2009/3/12 6:50,R1_Bed_to_Toilet,2009/3/12 7:11,1256,1,1
2009/3/12 7:12,Meal_Preparation,2009/3/12 7:16,200,1,1
2009/3/12 7:16,R1_Personal_Hygiene,2009/3/12 7:24,497,1,1
2009/3/12 7:27,R1_Work,2009/3/12 7:32,304,1,1
2009/3/12 7:27,Meal_Preparation,2009/3/12 7:34,404,2,1
2009/3/12 8:57,Watch_TV,2009/3/12 10:53,6959,1,1
2009/3/12 9:20,R1_Work,2009/3/12 10:07,2799,2,1
2009/3/12 11:07,Meal_Preparation,2009/3/12 12:24,4625,3,1
2009/3/12 17:31,R1_Work,2009/3/12 22:18,17222,3,0
2009/3/12 22:22,R1_Sleep,2009/3/13 6:02,27573,1,1
2009/3/13 6:05,R1_Bed_to_Toilet,2009/3/13 6:23,1059,1,1
2009/3/13 6:23,R1_Personal_Hygiene,2009/3/13 6:31,458,1,1
2009/3/13 6:34,R1_Personal_Hygiene,2009/3/13 6:36,92,2,1
2009/3/13 6:36,Meal_Preparation,2009/3/13 6:56,1167,1,1
2009/3/13 7:32,R1_Personal_Hygiene,2009/3/13 7:40,472,3,0
2009/3/13 7:40,R1_Work,2009/3/13 7:59,1157,1,1
2009/3/23 7:00,Meal_Preparation,2009/3/23 7:56,3387,1,1
2009/3/23 9:12,R1_Bed_to_Toilet,2009/3/23 9:14,116,1,1
2009/3/23 9:15,R1_Work,2009/3/23 9:42,1624,1,1
2009/3/23 9:44,R1_Personal_Hygiene,2009/3/23 9:54,603,1,1
2009/3/23 9:55,Meal_Preparation,2009/3/23 10:09,879,2,1
2009/3/23 10:21,R1_Work,2009/3/23 10:51,1789,2,1
2009/3/23 14:24,R1_Work,2009/3/23 17:11,9991,3,0
2009/3/23 19:19,Watch_TV,2009/3/23 20:24,3941,1,1
2009/3/23 21:31,R1_Personal_Hygiene,2009/3/23 21:41,615,2,1
2009/3/23 21:42,R1_Sleep,2009/3/24 8:19,38227,1,1
2009/3/23 22:23,Meal_Preparation,2009/3/23 22:29,360,3,1
2009/3/24 8:16,Meal_Preparation,2009/3/24 8:53,2218,1,1
2009/3/24 9:01,R1_Work,2009/3/24 9:10,552,1,1
2009/3/24 9:10,R1_Personal_Hygiene,2009/3/24 9:26,984,1,1
2009/3/24 9:33,Meal_Preparation,2009/3/24 9:54,1261,2,1
2009/3/24 12:46,Meal_Preparation,2009/3/24 13:02,1005,3,1
2009/3/24 16:28,Meal_Preparation,2009/3/24 17:15,2833,4,1
2009/3/24 22:12,R1_Sleep,2009/3/25 7:36,33869,1,1
2009/3/25 7:41,R1_Bed_to_Toilet,2009/3/25 8:04,1399,1,0
2009/3/25 8:06,R1_Personal_Hygiene,2009/3/25 8:35,1743,1,1
2009/3/25 8:46,Meal_Preparation,2009/3/25 8:51,263,1,1
2009/3/25 9:21,Meal_Preparation,2009/3/25 9:42,1210,2,1
2009/3/25 11:02,Meal_Preparation,2009/3/25 11:24,1322,3,1
2009/3/25 12:21,Meal_Preparation,2009/3/25 12:32,647,4,1
2009/3/25 12:32,R1_Personal_Hygiene,2009/3/25 12:43,636,2,1
2009/3/25 16:00,Meal_Preparation,2009/3/25 17:33,5603,5,0
2009/3/25 16:34,Watch_TV,2009/3/25 19:39,11117,1,1
2009/3/25 20:40,Meal_Preparation,2009/3/25 21:15,2104,6,0
2009/3/25 21:45,R1_Sleep,2009/3/26 7:35,35422,1,1
2009/3/26 2:36,R1_Bed_to_Toilet,2009/3/26 2:37,89,1,1
2009/3/26 7:36,R1_Personal_Hygiene,2009/3/26 7:39,176,1,1
2009/3/26 8:00,Meal_Preparation,2009/3/26 8:50,3047,1,1
2009/3/26 9:10,R1_Personal_Hygiene,2009/3/26 9:33,1377,2,1
2009/3/26 12:04,Watch_TV,2009/3/26 15:42,13107,1,1
2009/3/26 13:53,Meal_Preparation,2009/3/26 14:39,2714,2,1
2009/3/26 17:47,Meal_Preparation,2009/3/26 18:21,2037,3,1
2009/3/26 20:25,Meal_Preparation,2009/3/26 20:39,866,4,1
2009/3/26 20:43,R1_Work,2009/3/26 23:08,8676,1,1
2009/3/26 22:26,R1_Sleep,2009/3/27 7:46,33647,1,1
2009/3/27 4:46,R1_Bed_to_Toilet,2009/3/27 4:48,83,1,1
2009/3/27 7:47,R1_Personal_Hygiene,2009/3/27 8:20,1979,1,1
2009/3/27 8:25,Meal_Preparation,2009/3/27 8:44,1098,1,1
2009/3/27 12:05,Meal_Preparation,2009/3/27 12:21,921,2,1
2009/3/27 17:46,Watch_TV,2009/3/27 20:05,8340,1,1
2009/3/27 18:32,Meal_Preparation,2009/3/27 18:42,601,3,1
2009/3/27 20:07,R1_Work,2009/3/28 1:34,19607,1,0
2009/3/28 1:34,R1_Sleep,2009/3/28 9:31,28657,1,1
2009/3/30 16:08,R1_Work,2009/3/30 18:03,6881,1,1
2009/3/30 16:56,Meal_Preparation,2009/3/30 18:42,6367,1,1
2009/3/30 18:13,R1_Work,2009/3/30 18:33,1163,2,1
2009/3/30 19:39,Meal_Preparation,2009/3/30 19:55,989,2,1
2009/3/30 22:09,R1_Sleep,2009/3/31 8:03,35666,1,1
2009/3/31 8:07,R1_Bed_to_Toilet,2009/3/31 8:09,120,1,1
2009/3/31 8:11,Meal_Preparation,2009/3/31 8:42,1859,1,1
2009/3/31 8:18,R1_Work,2009/3/31 8:59,2445,1,1
2009/3/31 8:54,R1_Personal_Hygiene,2009/3/31 9:28,2017,1,1
2009/3/31 20:55,Meal_Preparation,2009/3/31 22:05,4230,2,1
2009/3/31 21:04,R1_Work,2009/3/31 22:41,5814,2,1
2009/3/31 22:42,R1_Sleep,2009/4/1 7:46,32654,1,1
2009/4/1 7:47,R1_Bed_to_Toilet,2009/4/1 8:11,1446,1,0
2009/4/1 8:12,R1_Personal_Hygiene,2009/4/1 8:20,488,1,1
2009/4/1 9:19,Watch_TV,2009/4/1 9:47,1690,1,1
2009/4/1 10:47,Meal_Preparation,2009/4/1 11:02,889,1,1
2009/4/1 12:38,Meal_Preparation,2009/4/1 13:05,1601,2,1
2009/4/1 21:58,R1_Sleep,2009/4/2 7:55,35821,1,1
2009/4/2 7:56,Meal_Preparation,2009/4/2 7:58,144,1,1
2009/4/2 8:01,R1_Work,2009/4/2 8:01,51,1,1
2009/4/2 8:13,Meal_Preparation,2009/4/2 8:51,2310,2,1
2009/4/2 8:51,R1_Personal_Hygiene,2009/4/2 9:28,2190,1,0
2009/4/2 11:47,Watch_TV,2009/4/2 13:04,4611,1,1
2009/4/2 11:47,Meal_Preparation,2009/4/2 12:52,3880,3,1
2009/4/2 17:51,R1_Work,2009/4/2 22:28,16617,2,0
2009/4/2 22:38,R1_Sleep,2009/4/3 4:25,20842,1,0
2009/4/3 4:01,R1_Bed_to_Toilet,2009/4/3 4:23,1300,1,0
2009/4/3 4:25,R1_Bed_to_Toilet,2009/4/3 4:27,129,2,1
2009/4/3 5:02,R1_Bed_to_Toilet,2009/4/3 5:06,243,3,1
2009/4/3 5:51,R1_Bed_to_Toilet,2009/4/3 5:53,147,4,1
2009/4/3 6:01,R1_Personal_Hygiene,2009/4/3 6:04,147,1,1
2009/4/3 8:14,Meal_Preparation,2009/4/3 8:49,2115,1,1
2009/4/3 9:18,Meal_Preparation,2009/4/3 9:28,617,2,1
2009/4/3 10:58,Watch_TV,2009/4/3 11:27,1695,1,1
2009/4/3 12:20,Watch_TV,2009/4/3 12:32,740,2,0
2009/4/3 12:20,Meal_Preparation,2009/4/3 12:34,833,3,1
2009/4/3 13:42,Meal_Preparation,2009/4/3 14:19,2217,4,1
2009/4/3 17:51,Meal_Preparation,2009/4/3 18:14,1362,5,0
2009/4/3 19:33,R1_Work,2009/4/3 20:40,4028,1,1
2009/4/3 23:47,R1_Sleep,2009/4/4 7:08,26475,1,1
